id;description;asset_condition;assessment_date;assessment_remarks;name_of_assessing_staff;name_of_assessment_contractor;current_service_outlet_code;current_physical_address;next_assessment_date;name_of_user;fixed_asset_picture;fixed_asset_picture_content_type;fixed_asset_item_id;estimated_value;estimated_useful_months
1;mobile Fish;EXCELLENT;2019-07-19T08:47:25;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;2019-07-19T03:11:41;Investment Account Steel;436f6d6d6f6e;image/png;78517;61838;19967
2;Cambridgeshire Mississippi;EXCELLENT;2019-07-18T17:51:25;Centers;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;2019-07-18T14:11:16;Salad;636f6e76657267656e6365;image/png;20794;54671;56770
3;Industrial;EXCELLENT;2019-07-18T19:50:05;National Awesome sky blue;Tactics;scale interactive generating;Specialist Home Loan Account;Plastic;2019-07-18T14:55:54;Small;6f766572726964696e67;image/png;70685;71134;72900
4;quantify Unbranded Plastic Tuna Frozen;EXCELLENT;2019-07-19T01:17:05;Lempira;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;2019-07-18T23:38:25;red;436f6e637265746520496e766573746d656e74204163636f756e74205361696e74204c75636961;image/png;20306;22879;94285
5;Money Market Account;EXCELLENT;2019-07-18T18:58:57;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;2019-07-18T13:31:37;Games;436f6e63726574652032342f372044697265637469766573;image/png;32320;21876;51879
6;Kenyan Shilling robust;EXCELLENT;2019-07-18T17:05:23;Plastic;Computers Personal Loan Account Berkshire;Home;Investor Public-key;Lebanon;2019-07-18T23:26:15;Dominican Republic Credit Card Account Handmade;506f696e74204f7263686573747261746f72;image/png;39882;53577;81643
7;optical;EXCELLENT;2019-07-19T05:42:28;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;2019-07-18T13:07:42;Enhanced deposit parsing;546173747920437573746f6d65722048756d616e;image/png;63310;18870;33902
8;cross-media;EXCELLENT;2019-07-18T12:52:40;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;2019-07-19T09:45:01;Bedfordshire;70726f6772616d20616c61726d;image/png;30806;56830;54254
9;Berkshire;EXCELLENT;2019-07-18T10:49:56;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;2019-07-18T11:36:48;Response Human;61726368697465637475726573;image/png;96665;57229;96361
10;SDD disintermediate reinvent;EXCELLENT;2019-07-19T00:42:42;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;2019-07-19T10:03:35;Auto Loan Account olive;556e6272616e6465642046726573682050616e747320546f6f6c732043616c69666f726e6961;image/png;43847;57828;67202
