id;service_outlet_code;service_outlet_designation;description;location
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness
3;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire
4;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries
5;Investment Account;Games Regional Digitized;copy convergence;Mayotte
6;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
7;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small
8;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB
9;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus
10;hard drive Robust Networked;Poland;Small partnerships;Outdoors
